receipt_id,year,quarter,company_id,company_name,material_name,supplier,order_date,promised_date,actual_receipt_date,delay_days,ordered_qty,unit,risk_stage,note
MAT-0001,2023,Q1,1,옷감사,면 원사,Qingdao Cotton Trading,2022-11-07,2022-12-22,2022-12-24,2,855976,kg,normal_variation,
MAT-0002,2023,Q1,1,옷감사,폴리 원사,Sino Poly Fiber,2022-11-07,2022-12-22,2022-12-22,0,743559,kg,normal_variation,
MAT-0003,2023,Q1,1,옷감사,염료,Korea Dye Works,2022-11-07,2022-12-22,2022-12-24,2,906502,kg,normal_variation,
MAT-0004,2023,Q1,2,케어라벨사,라벨 원단,Apex Label Materials,2022-11-07,2022-12-22,2022-12-28,6,510759,m,normal_variation,
MAT-0005,2023,Q1,2,케어라벨사,잉크,Korea Ink Supply,2022-11-07,2022-12-22,2022-12-27,5,511782,통,normal_variation,
MAT-0006,2023,Q1,3,지퍼단추사,플라스틱 원료,Ningbo Resin Parts,2022-11-07,2022-12-22,2022-12-27,5,598675,kg,normal_variation,
MAT-0007,2023,Q1,3,지퍼단추사,금속 원료,Qingdao Metal Parts,2022-11-07,2022-12-22,2022-12-24,2,513998,kg,normal_variation,
MAT-0008,2023,Q1,3,지퍼단추사,지퍼 테이프,Shenzhen Zipper Tape,2022-11-07,2022-12-22,2022-12-22,0,522277,m,normal_variation,
MAT-0009,2023,Q2,1,옷감사,면 원사,Qingdao Cotton Trading,2023-02-05,2023-03-22,2023-03-22,0,830968,kg,normal_variation,
MAT-0010,2023,Q2,1,옷감사,폴리 원사,Sino Poly Fiber,2023-02-05,2023-03-22,2023-03-23,1,727555,kg,normal_variation,
MAT-0011,2023,Q2,1,옷감사,염료,Korea Dye Works,2023-02-05,2023-03-22,2023-03-24,2,732469,kg,normal_variation,
MAT-0012,2023,Q2,2,케어라벨사,라벨 원단,Apex Label Materials,2023-02-05,2023-03-22,2023-03-25,3,520330,m,normal_variation,
MAT-0013,2023,Q2,2,케어라벨사,잉크,Korea Ink Supply,2023-02-05,2023-03-22,2023-03-25,3,493137,통,normal_variation,
MAT-0014,2023,Q2,3,지퍼단추사,플라스틱 원료,Ningbo Resin Parts,2023-02-05,2023-03-22,2023-03-28,6,535405,kg,normal_variation,
MAT-0015,2023,Q2,3,지퍼단추사,금속 원료,Qingdao Metal Parts,2023-02-05,2023-03-22,2023-03-28,6,488168,kg,normal_variation,
MAT-0016,2023,Q2,3,지퍼단추사,지퍼 테이프,Shenzhen Zipper Tape,2023-02-05,2023-03-22,2023-03-23,1,530981,m,normal_variation,
MAT-0017,2023,Q3,1,옷감사,면 원사,Qingdao Cotton Trading,2023-05-07,2023-06-21,2023-06-28,7,759238,kg,normal_variation,
MAT-0018,2023,Q3,1,옷감사,폴리 원사,Sino Poly Fiber,2023-05-07,2023-06-21,2023-06-23,2,813295,kg,normal_variation,
MAT-0019,2023,Q3,1,옷감사,염료,Korea Dye Works,2023-05-07,2023-06-21,2023-06-21,0,782555,kg,normal_variation,
MAT-0020,2023,Q3,2,케어라벨사,라벨 원단,Apex Label Materials,2023-05-07,2023-06-21,2023-06-21,0,375739,m,normal_variation,
MAT-0021,2023,Q3,2,케어라벨사,잉크,Korea Ink Supply,2023-05-07,2023-06-21,2023-06-23,2,383141,통,normal_variation,
MAT-0022,2023,Q3,3,지퍼단추사,플라스틱 원료,Ningbo Resin Parts,2023-05-07,2023-06-21,2023-06-21,0,538317,kg,normal_variation,
MAT-0023,2023,Q3,3,지퍼단추사,금속 원료,Qingdao Metal Parts,2023-05-07,2023-06-21,2023-06-23,2,546668,kg,normal_variation,
MAT-0024,2023,Q3,3,지퍼단추사,지퍼 테이프,Shenzhen Zipper Tape,2023-05-07,2023-06-21,2023-06-26,5,532002,m,normal_variation,
MAT-0025,2023,Q4,1,옷감사,면 원사,Qingdao Cotton Trading,2023-08-07,2023-09-21,2023-09-23,2,685164,kg,normal_variation,
MAT-0026,2023,Q4,1,옷감사,폴리 원사,Sino Poly Fiber,2023-08-07,2023-09-21,2023-09-26,5,945904,kg,normal_variation,
