production_id,shipment_batch_id,company_id,company_name,label_code,season,gender,fabric,garment_type,color,garment_units,production_start_date,production_complete_date,production_due_date,production_duration_days,due_buffer_days,is_late,line_or_machine,risk_stage,scenario_tag
PRD-00001,SHP-202301-01,1,옷감사,W2WPL07BE,여름,여성,폴리에스터,팬츠,베이지,32343,2022-12-02,2022-12-16,2023-01-08,14,23,N,fabric-line-2,normal,smooth
PRD-00002,SHP-202301-01,2,케어라벨사,W2WPL07BE,여름,여성,폴리에스터,팬츠,베이지,32343,2022-12-16,2022-12-21,2023-01-08,5,18,N,label-line-3,normal,smooth
PRD-00003,SHP-202301-01,3,지퍼단추사,W2WPL07BE,여름,여성,폴리에스터,팬츠,베이지,32343,2022-11-30,2022-12-09,2023-01-08,9,30,N,zipper-line-4,normal,smooth
PRD-00004,SHP-202301-02,1,옷감사,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,32046,2022-12-06,2022-12-18,2023-01-18,12,31,N,fabric-line-5,normal,smooth
PRD-00005,SHP-202301-02,2,케어라벨사,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,32046,2022-12-23,2022-12-30,2023-01-18,7,19,N,label-line-6,normal,smooth
PRD-00006,SHP-202301-02,3,지퍼단추사,W1MTP05BE,봄,남성,폴리에스터,티셔츠,베이지,32046,2022-12-09,2022-12-18,2023-01-18,9,31,N,zipper-line-1,normal,smooth
PRD-00007,SHP-202301-03,1,옷감사,W2WTL06WH,봄,여성,리넨,티셔츠,화이트,30857,2022-12-23,2023-01-04,2023-01-27,12,23,N,fabric-line-2,normal,smooth
PRD-00008,SHP-202301-03,2,케어라벨사,W2WTL06WH,봄,여성,리넨,티셔츠,화이트,30857,2022-12-26,2022-12-30,2023-01-27,4,28,N,label-line-3,normal,smooth
PRD-00009,SHP-202301-03,3,지퍼단추사,W2WTL06WH,봄,여성,리넨,티셔츠,화이트,30857,2022-12-27,2023-01-05,2023-01-27,9,22,N,zipper-line-4,normal,smooth
PRD-00010,SHP-202302-01,1,옷감사,W2WPM10GY,겨울,여성,울,코트,그레이,36769,2022-12-26,2023-01-09,2023-02-07,14,29,N,fabric-line-5,normal,smooth
